name,gender,language
Giuliana,F,en
Lauryn,F,en
Liberty,F,en
Galilea,F,en
Aubrie,F,en
Charli,F,en
Kyleigh,F,en
Brylee,F,en
Jillian,F,en
Anne,F,en
Haylee,F,en
Dallas,F,en
Azalea,F,en
Jayda,F,en
Tiffany,F,en
Avah,F,en
Shiloh,F,en
Bailee,F,en
Jazmine,F,en
Esme,F,en
Coraline,F,en
Madisyn,F,en
Elaine,F,en
Lilian,F,en
Kyra,F,en
Kaliyah,F,en
Kora,F,en
Octavia,F,en
Irene,F,en
Kelly,F,en
Lacey,F,en
Laurel,F,en
Adley,F,en
Anika,F,en
Janiyah,F,en
Dorothy,F,en
Sutton,F,en
Julieta,F,en
Kimber,F,en
Remy,F,en
Cassandra,F,en
Rebekah,F,en
Collins,F,en
Elliot,F,en
Emmy,F,en
Sloan,F,en
Hayley,F,en
Amalia,F,en
Jemma,F,en
Jamie,F,en
Melina,F,en
Leyla,F,en
Jaylah,F,en
Anahi,F,en
Jaliyah,F,en
Kailani,F,en
Harlee,F,en
Wynter,F,en
Saige,F,en
Alessia,F,en
Monica,F,en
Anya,F,en
Antonella,F,en
Emberly,F,en
Khaleesi,F,en
Ivory,F,en
Greta,F,en
Maren,F,en
Alena,F,en
Emory,F,en
Alaia,F,en
Cynthia,F,en
Addisyn,F,en
Alia,F,en
Lylah,F,en
Angie,F,en
Ariya,F,en
Alma,F,en
Crystal,F,en
Jayde,F,en
Aileen,F,en
Kinslee,F,en
Siena,F,en
Zelda,F,en
Katalina,F,en
Marie,F,en
Pearl,F,en
Reyna,F,en
Mae,F,en
Zahra,F,en
Kailey,F,en
Jessie,F,en
Tiana,F,en
Amirah,F,en
Madalyn,F,en
Alaya,F,en
Lilyana,F,en
Julissa,F,en
Armani,F,en
Lennox,F,en
Lillie,F,en
Jolie,F,en
Laney,F,en
Roselyn,F,en
Mara,F,en
Joelle,F,en
Rosa,F,en
Kaylani,F,en
Bridget,F,en
Liv,F,en
Oaklyn,F,en
Aurelia,F,en
Clarissa,F,en
Elyse,F,en
Marissa,F,en
Monroe,F,en
Kori,F,en
Elsa,F,en
Rosie,F,en
Amelie,F,en
Aitana,F,en
Aliza,F,en
Eileen,F,en
Poppy,F,en
Emmie,F,en
Braylee,F,en
Milana,F,en
Addilynn,F,en
Royal,F,en
Chaya,F,en
Frida,F,en
Bonnie,F,en
Amora,F,en
Stevie,F,en
Tatiana,F,en
Malaya,F,en
Mina,F,en
Emerie,F,en
Reign,F,en
Zaylee,F,en
Annika,F,en
Kenia,F,en
Linda,F,en
Kenna,F,en
Faye,F,en
Reina,F,en
Brittany,F,en
Marina,F,en
Astrid,F,en
Kadence,F,en
Mikaela,F,en
Jaelyn,F,en
Briar,F,en
Kaylie,F,en
Teresa,F,en
Bria,F,en
Hadassah,F,en
Lilianna,F,en
Guadalupe,F,en
Rayna,F,en
Chanel,F,en
Lyra,F,en
Noa,F,en
Zariyah,F,en
Laylah,F,en
Aubrielle,F,en
Aniya,F,en
Livia,F,en
Ellen,F,en
Meadow,F,en
Amiya,F,en
Ellis,F,en
Elora,F,en
Milan,F,en
Hunter,F,en
Princess,F,en
Leanna,F,en
Nathalie,F,en
Clementine,F,en
Nola,F,en
Tenley,F,en
Simone,F,en
Lina,F,en
Marianna,F,en
Martha,F,en
Sariah,F,en
Louisa,F,en
Noemi,F,en
Emmeline,F,en
Kenley,F,en
Belen,F,en
Erika,F,en
Myah,F,en
Lara,F,en
Amani,F,en
Ansley,F,en
Everlee,F,en
Maleah,F,en
Salma,F,en
Jaelynn,F,en
Kiera,F,en
Dulce,F,en
Nala,F,en
Natasha,F,en
Averi,F,en
Mercy,F,en
Penny,F,en
Ariadne,F,en
Deborah,F,en
Elisabeth,F,en
Zaria,F,en
Hana,F,en
Kairi,F,en
Yareli,F,en
Raina,F,en
Ryann,F,en
Lexie,F,en
Thalia,F,en
Karter,F,en
Annabel,F,en
